FileName	Date	Time	Temperature	Rain(mm)	Relative Humanity(%)	Camera_ID	Angle
gallery\0_08_0.jpg	1/28/2017	12:27:00	17	0	76.2	08	2
gallery\0_08_1.jpg	1/28/2017	12:27:00	17	0	76.2	08	2
gallery\1_24_0.jpg	1/27/2024	10:30:00	17	0	71.8	24	3
gallery\1_24_1.jpg	1/27/2024	10:30:00	17	0	71.8	24	3
gallery\1_24_2.jpg	1/27/2024	10:30:00	17	0	71.8	24	3
gallery\2_24_0.jpg	1/27/2024	10:30:00	17	0	71.8	24	3
gallery\2_24_1.jpg	1/27/2024	10:31:00	17	0	71.8	24	3
gallery\3_35_0.jpg	2/13/2024	07:30:00	22	0	91.3	35	2
gallery\3_35_1.jpg	2/13/2024	07:30:00	22	0	91.3	35	2
gallery\3_35_2.jpg	2/13/2024	07:30:00	22	0	91.3	35	2
gallery\4_35_0.jpg	1/17/2024	01:38:00	19	0	85.7	35	3
gallery\4_35_1.jpg	1/17/2024	01:38:00	19	0	85.7	35	3
gallery\4_35_2.jpg	1/17/2024	01:38:00	19	0	85.7	35	3
query\0_08_0.jpg	1/28/2017	12:27:00	17	0	76.2	08	2
query\0_08_1.jpg	1/28/2017	12:27:00	17	0	76.2	08	2
query\1_24_0.jpg	1/27/2024	10:31:00	17	0	71.8	24	3
query\1_24_1.jpg	1/27/2024	10:31:00	17	0	71.8	24	3
query\1_24_2.jpg	1/27/2024	10:31:00	17	0	71.8	24	3
query\2_24_0.jpg	1/27/2024	10:30:00	17	0	71.8	24	3
query\2_24_1.jpg	1/27/2024	10:31:00	17	0	71.8	24	3
query\3_35_0.jpg	2/13/2024	07:30:00	22	0	91.3	35	2
query\3_35_1.jpg	2/13/2024	07:30:00	22	0	91.3	35	2
query\3_35_2.jpg	2/13/2024	07:30:00	22	0	91.3	35	2
query\4_35_0.jpg	1/17/2024	01:38:00	19	0	85.7	35	3
query\4_35_1.jpg	1/17/2024	01:38:00	19	0	85.7	35	3
query\4_35_2.jpg	1/17/2024	01:38:00	19	0	85.7	35	3
train\0_6104_0.jpg	2/17/2024	07:06:00	18	0	89.5	6104	2
